                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.77108,                0.40982,                0.93681,                0.94488,                0.95815,                 0.9758,                0.70483,                 1.2396,                0.48076,                 1.1627,               0.003862,               0.003862,               0.003862
                     95,                0.77393,                0.41031,                0.93886,                0.96006,                0.93721,                0.97423,                0.70372,                 1.2378,                0.48855,                 1.1658,               0.003796,               0.003796,               0.003796
                     96,                0.78865,                0.41854,                0.94943,                0.93579,                0.95408,                0.96826,                0.69495,                 1.2477,                0.52917,                 1.1626,                0.00373,                0.00373,                0.00373
                     97,                0.77377,                0.41443,                0.93962,                0.97271,                0.94565,                0.97116,                0.70083,                 1.2286,                0.49519,                 1.1483,               0.003664,               0.003664,               0.003664
                     98,                0.78265,                0.41121,                0.94353,                0.95521,                0.95293,                0.96947,                0.70663,                 1.2184,                0.46587,                 1.1365,               0.003598,               0.003598,               0.003598
                     99,                0.79512,                0.41868,                0.93581,                0.94312,                0.96244,                0.97413,                0.69832,                 1.2256,                0.46944,                 1.1535,               0.003532,               0.003532,               0.003532
                    100,                0.78097,                0.40835,                0.93988,                0.96237,                0.95099,                0.97325,                0.71525,                 1.2156,                0.46594,                 1.1638,               0.003466,               0.003466,               0.003466
                    101,                0.77473,                0.40887,                0.93344,                0.95626,                0.95408,                0.97246,                0.70123,                 1.2311,                0.46891,                 1.1667,                 0.0034,                 0.0034,                 0.0034
                    102,                0.76516,                0.40652,                0.93413,                0.93482,                0.96536,                0.97124,                0.70088,                 1.2382,                0.47598,                 1.1689,               0.003334,               0.003334,               0.003334
                    103,                0.74163,                0.40643,                0.92876,                0.95196,                 0.9395,                0.97364,                0.70804,                 1.2348,                0.47596,                 1.1641,               0.003268,               0.003268,               0.003268
                    104,                 0.7591,                 0.3983,                0.92965,                0.96024,                 0.9354,                0.97683,                0.71352,                  1.211,                0.46198,                 1.1527,               0.003202,               0.003202,               0.003202
                    105,                0.74928,                0.40153,                0.93136,                0.95129,                0.95403,                0.97302,                0.69975,                 1.2387,                0.47574,                 1.1625,               0.003136,               0.003136,               0.003136
                    106,                0.75487,                0.39335,                0.93977,                0.96298,                0.95408,                 0.9712,                 0.7113,                  1.204,                0.47622,                 1.1511,                0.00307,                0.00307,                0.00307
                    107,                0.73418,                0.38433,                0.92088,                0.95239,                0.95422,                0.96706,                0.69926,                 1.2153,                0.46906,                 1.1656,               0.003004,               0.003004,               0.003004
                    108,                0.73601,                0.38608,                0.92922,                0.96197,                0.95394,                0.97261,                0.70409,                 1.1986,                0.47133,                 1.1499,               0.002938,               0.002938,               0.002938
                    109,                0.74422,                0.39436,                0.93364,                0.95417,                0.94941,                0.96931,                0.71184,                 1.2193,                0.46815,                  1.151,               0.002872,               0.002872,               0.002872
                    110,                 0.7481,                0.40018,                0.92533,                0.95501,                0.94941,                0.96447,                 0.7073,                 1.2211,                0.48717,                 1.1546,               0.002806,               0.002806,               0.002806
                    111,                0.72438,                0.38256,                0.92567,                0.94909,                0.95408,                0.97393,                0.71587,                 1.2178,                0.48867,                   1.15,                0.00274,                0.00274,                0.00274
                    112,                0.72541,                0.38534,                0.91626,                0.94458,                0.94849,                0.97048,                0.72402,                 1.1967,                0.49374,                 1.1449,               0.002674,               0.002674,               0.002674
                    113,                0.72472,                0.38352,                0.91987,                0.95551,                0.95672,                0.97079,                0.71598,                 1.1909,                0.46737,                 1.1492,               0.002608,               0.002608,               0.002608
                    114,                0.74331,                0.38694,                0.92821,                0.94789,                0.95018,                 0.9666,                0.71321,                 1.2098,                0.46591,                 1.1521,               0.002542,               0.002542,               0.002542
                    115,                0.68696,                0.36964,                0.91219,                0.96177,                0.94006,                0.96784,                0.70896,                 1.2302,                 0.4902,                 1.1579,               0.002476,               0.002476,               0.002476
                    116,                0.72959,                0.38562,                0.91789,                0.95856,                0.94566,                0.97091,                 0.7063,                 1.1907,                0.47434,                 1.1513,                0.00241,                0.00241,                0.00241
